"","Study_ID","Author_year","Paper_title","Publication_year","Journal","Country_firstAuthor","Review_type_claimed","Systematic_approach","Protocol","Meta_analysis","PFAS_focus","PFAS_one_many","MeSH_terms","Outcomes_PECOS","Outcomes","Outcome_category","Human_animal_environment","Lab_domestic_wildlife_mixed","Species_one_many","Environment_type","Study_inclusion_start","Study_inclusion_end","N_studies","Reporting_guideline","COI_statement","COI_present","Funding_statement","No_profit_funding","Industry_funding","Raw_data","Analysis_code","DOI","Species_scientific_name","Species_common_name","Class_scientific_name","PFAS_type","PFAS_abbreviations","PFAS_full_namee","PFAS_CAS_no","PFAS_group","PFAS_carbon_chain","Legacy_novel"
"4694","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Mirounga leonine","Elephant seal","Mammal","NMeFOSA","NMeFOSA","N-methyl fluorooctane sulfonamide","31506-32-8","Perfluoroalkane sulfonamides (FASAs)",8,"novel"
"4695","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Arctocephalus gazella","Antarctic fur sea","Mammal","PFHxA","PFHxA","Perfluorohexanoic acid","307-24-4","Perfluoroalkyl carboxylic acids (PFCA)",6,"legacy"
"4696","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Arctocephalus gazella","Antarctic fur sea","Mammal","PFHpA","PFHpA","Perfluoroheptanoic acid","375-85-9","Perfluoroalkyl carboxylic acids (PFCA)",7,"legacy"
"4697","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Arctocephalus gazella","Antarctic fur sea","Mammal","PFOA","PFOA","Perfluorooctanoic acid","335-67-1","Perfluoroalkyl carboxylic acids (PFCA)",8,"legacy"
"4698","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Arctocephalus gazella","Antarctic fur sea","Mammal","PFNA","PFNA","Perfluorononanoic acid","375-95-1","Perfluoroalkyl carboxylic acids (PFCA)",9,"legacy"
"4699","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Arctocephalus gazella","Antarctic fur sea","Mammal","PFDA","PFDcA/ PFDeA/ PFDcA","Perfluorodecanoic acid","335-76-2","Perfluoroalkyl carboxylic acids (PFCA)",10,"legacy"
"4700","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Arctocephalus gazella","Antarctic fur sea","Mammal","PFUnDA","PFUnDA/PFUnA/ PFUA/ PFUdA","Perfluoroundecanoic acid","2058-94-8","Perfluoroalkyl carboxylic acids (PFCA)",11,"legacy"
"4701","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Arctocephalus gazella","Antarctic fur sea","Mammal","PFDoDA","PFDoA/PFDoDA","Perfluorododecanoic acid","307-55-1","Perfluoroalkyl carboxylic acids (PFCA)",12,"legacy"
"4702","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Arctocephalus gazella","Antarctic fur sea","Mammal","PFTrA","PFTrDA/ PFTriDA/ PFTrA","Perfluorotridecanoic acid","72629-94-8","Perfluoroalkyl carboxylic acids (PFCA)",13,"legacy"
"4703","S_150","Houde_2011","Monitoring of perfluorinated compounds in aquatic biota: an updated review: PFCs in aquatic biota",2011,"environmental science & technology","Canada","critical review","No","No","No","Yes","Multiple","Animals; Aquatic Organisms / metabolism*; Biota*; Environmental Monitoring / methods*; Fluorocarbons / analysis*; Fluorocarbons / chemistry; Humans; Water Pollutants, Chemical / analysis*; Water Pollutants, Chemical / chemistry; Water Pollution / analysis","No","Contaminants occurrence in aquatic biota","Contaminants Occurrence and Exposure","Animals","Wildlife","Multiple",NA,NA,NA,NA,"No","No",NA,"No",NA,NA,"Yes","No","10.1021/es104326w","Arctocephalus gazella","Antarctic fur sea","Mammal","PFTA","PFTA/ PFTeDA/PFTeA","Perfluorotetradecanoic acid","376-06-7","Perfluoroalkyl carboxylic acids (PFCA)",14,"legacy"
