Study_ID,Species_scientific_name,Species_common_name,Comment,Class_scientific_name
S_103,Haliaeetus leucocephalus,Bald Eagle,na,Aves
S_103,Mytilus edulis,Blue mussel,na,Bivalvia
S_103,Zoarces viviparus,Eelpout,na,Actinopterygii
S_103,Clupea Harengus,Herring ,na,Actinopterygii
S_114,Mus musculus,C57BL/6J-Apc mice,The authors did not report the scientific name,Mammalia
S_114,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name,Mammalia
S_120,Mus musculus,Mice,The authors did not report the scientific name,Mammalia
S_120,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name,Mammalia
S_123,na,na,The authors did not report the name of the included species,na
S_136,Mus musculus,C57Bl/6 mice,The authors did not report the scientific name,Mammalia
S_136,Mus musculus,CD1 mice,The authors did not report the scientific name,Mammalia
S_136,Mus musculus,129S1/SvlmJ mice,The authors did not report the scientific name,Mammalia
S_136,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name,Mammalia
S_136,Rattus norvegicus,Wistar rat,The authors did not report the scientific name,Mammalia
S_136,Danio rerio,Zebrafish,na,Actinopterygii
S_136,Drosophila melanogaster,Fruit fly,na,Insecta
S_136,Gallus domesticus,Chicken,na,Aves
S_136,Salmo salar,Atlantic salmon,na,Actinopterygii
S_137,Mus musculus,C57Bl/6 mice,The authors did not report the scientific name,Mammalia
S_137,Mus musculus,CD1 mice,The authors did not report the scientific name,Mammalia
S_137,Mus musculus,129S1/SvlmJ mice,The authors did not report the scientific name,Mammalia
S_137,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name,Mammalia
S_137,Rattus norvegicus,Wistar rat,The authors did not report the scientific name,Mammalia
S_137,Danio rerio,Zebrafish,na,Actinopterygii
S_137,Drosophila melanogaster,Fruit fly,na,Insecta
S_137,Gallus domesticus,Chicken,na,Aves
S_137,Salmo salar,Atlantic salmon,na,Actinopterygii
S_150,Arenicola marina,Lugworm,The authors did not report the scientific name,Polychaeta
S_150,Boleophthalmus pectinirostris,Mudskipper (herbivorous) ,na,Actinopterygii
S_150,Periophthalmus modestus,Mudskipper (omnivorous),na,Actinopterygii
S_150,Moina rectirostris,zooplankton,na,Branchiopoda 
S_150,Moina micrura,zooplankton,na,Branchiopoda 
S_150,Moina micrura,zooplankton,na,Branchiopoda 
S_150,Callinectes sapidus,Blue crab,The authors did not report the scientific name,Malacostraca
S_150,Spisula solidissima,Surf clam,The authors did not report the scientific name,Bivalvia
S_150,Littorina brevicula,Asian periwinkle,na,Gastropoda
S_150,Gastropoda,Neritid gastropod,The authors did not report the scientific name,Gastropoda
S_150,Loligo vulgaris,Squid,na,Cephalopoda
S_150,Tringa totanus,Redshank,na,Aves
S_150,Mytilus edulis,Blue mussel,na,Bivalvia
S_150,Venus,Clam,na,Bivalvia
S_150,Hydropsyche exocellata,Trichoptera larvae,na,Insecta
S_150,Crassostrea gigas,Oyster,na,Bivalvia
S_150,Dreissena polymorpha,Zebra mussel ,na,Bivalvia
S_150,Procambarus clarkii,Crab,na,Malacostraca
S_150,Atrina serrata,Sawtooth pen clam ,na,Bivalvia
S_150,Penaeus setiferus,White shrimp,na,Malacostraca
S_150,Perna perna,Brown mussel ,na,Bivalvia
S_150,Monacanthidae,Filefish,The authors did not report the scientific name,Actinopterygii
S_150,Cyprinidae,Sea bream,The authors did not report the scientific name,Actinopterygii
S_150,Pagrus major,Red sea bream,The authors did not report the scientific name,Actinopterygii
S_150,Pleuronectidae,Right eye flounder,The authors did not report the scientific name,Actinopterygii
S_150,Sphyrnidae,Hammerhead shark,The authors did not report the scientific name,Chondrichthyes
S_150,Katsuwonus pelamis,Skipjack tuna,na,Actinopterygii
S_150,Hemiculter leucisculus,White semiknife carp ,na,Actinopterygii
S_150,Oreochromis niloticus,Tilapia,na,Actinopterygii
S_150,Clarias lazera,Leather catfish,na,Actinopterygii
S_150,Cyprinus carpio,Common carp,na,Actinopterygii
S_150,Carassius auratus,Crucian carp,na,Actinopterygii
S_150,Scorpaenidae,Rockfish,The authors did not report the scientific name,Actinopterygii
S_150,Alosa sapidissima,Shad,The authors did not report the scientific name,Actinopterygii
S_150,Mugil,Mullet,The authors did not report the scientific name,Actinopterygii
S_150,Mugil,Striped mullet,The authors did not report the scientific name,Actinopterygii
S_150,Sebastes sclegeli,Rockfish,na,Actinopterygii
S_150,Acipenser sinensis,Chinese sturgeon,na,Actinopterygii
S_150,Gymnocypris przewalskii,Cyprinid ,The authors did not report the common name,Actinopterygii
S_150,Racoma tibetanus,na,The authors did not report the common name,Actinopterygii
S_150,Gymoncypris namensis,Cyprinid ,The authors did not report the common name,Actinopterygii
S_150,Gymoncypris waddellii,Cyprinid ,The authors did not report the common name,Actinopterygii
S_150,Racoma biddulphi Gunther ,na,The authors did not report the common name,Actinopterygii
S_150,Schizopygopsis malacanthus,na,The authors did not report the common name,Actinopterygii
S_150,Gadus morhua,Cod,na,Actinopterygii
S_150,Pleuronectes platessa,Plaice,na,Actinopterygii
S_150,Platichthys flesus,Flounder,na,Actinopterygii
S_150,Anguilla anguilla,Eel,na,Actinopterygii
S_150,Xiphias gladius,Swordfish,na,Actinopterygii
S_150,Perca fluviatilis,Perch,na,Actinopterygii
S_150,Lota lota,Burbot,na,Actinopterygii
S_150,Coregonus lavaretus,Whitefish,na,Actinopterygii
S_150,Salmo salar,Salmon,na,Actinopterygii
S_150,Salmo trutta,Brown trout,na,Actinopterygii
S_150,Mugil cephalus,Pelagic fish,na,Actinopterygii
S_150,Dentex dentex,Pelagic fish,na,Actinopterygii
S_150,Trachurus mediterraneus,Pelagic fish,na,Actinopterygii
S_150,Lamna nasus,Pelagic fish,na,Actinopterygii
S_150,Mustelus mustelus,Pelagic fish,na,Actinopterygii
S_150,Xiphias gladius,Pelagic fish,na,Actinopterygii
S_150,Thunnus thynnus,Pelagic fish,na,Actinopterygii
S_150,Conger conger,Benthonic fish,na,Actinopterygii
S_150,Scyliorhinus canicula,Benthonic fish,na,Actinopterygii
S_150,Mullus surmuletus,Benthonic fish,na,Actinopterygii
S_150,Pagellus erythrinus,Benthonic fish,na,Actinopterygii
